time,tp,t2m,u10,v10,sp,pm25,pm10,o3,no2,so2,co
2014-01-01 08:00:00,6.4909356e-05,281.3566,0.73244584,7.2877483,99027.23,37,20,26,29,11,5
2014-01-01 12:00:00,0.0018197058,281.2342,-2.7742662,10.20038,98397.484,37,20,26,29,11,5
2014-01-01 18:00:00,0.00047146156,283.16663,1.7650433,9.501436,97716.625,37,20,26,29,11,5
2014-01-02 08:00:00,0.0,279.4385,4.402645,2.3699827,98448.15,46,27,31,28,3,5
2014-01-02 12:00:00,0.0,282.33685,2.6063538,3.6836424,98801.875,46,27,31,28,3,5
2014-01-02 18:00:00,9.57246e-06,281.37817,1.7631016,5.4077005,98915.695,46,27,31,28,3,5
2014-01-03 08:00:00,0.0010690792,281.4154,6.2093887,5.9294014,98431.44,49,18,27,27,3,5
2014-01-03 12:00:00,0.00016622542,281.66016,4.710453,6.823841,98543.3,49,18,27,27,3,5
2014-01-03 18:00:00,3.8146682e-06,279.54987,6.4312744,6.131402,98780.72,49,18,27,27,3,5
2014-01-04 08:00:00,0.0019999982,281.62225,0.99342465,9.378054,98399.84,48,15,24,27,3,5
2014-01-04 12:00:00,0.0011396299,281.7683,1.4281249,7.9998255,98001.34,48,15,24,27,3,5
2014-01-04 18:00:00,0.00016124269,278.58942,4.401641,-1.0515738,98307.53,48,15,24,27,3,5
2014-01-05 08:00:00,0.0,274.21558,1.961338,2.4767427,99451.766,44,23,28,27,3,4
2014-01-05 12:00:00,0.0,279.29626,0.3039978,4.188779,99386.44,44,23,28,27,3,4
2014-01-05 18:00:00,3.8325765e-05,281.38177,-0.6666206,9.565104,98939.984,44,23,28,27,3,4
2014-01-06 08:00:00,0.00072026916,283.1244,5.317526,7.3329268,98550.53,42,30,28,28,2,6
2014-01-06 12:00:00,5.6397912e-05,284.58734,5.109954,7.587057,98619.484,42,30,28,28,2,6
2014-01-06 18:00:00,7.642506e-05,283.33252,5.2851105,7.769535,98677.9,42,30,28,28,2,6
2014-01-07 08:00:00,0.00071096467,283.07538,4.672332,7.8525066,99318.09,42,24,22,31,4,6
2014-01-07 12:00:00,9.066965e-05,282.73315,5.771778,6.715109,99465.92,42,24,22,31,4,6
2014-01-07 18:00:00,5.245267e-06,282.91428,4.550804,5.7996945,99723.44,42,24,22,31,4,6
2014-01-08 08:00:00,0.0,280.8746,3.3646002,3.8891912,100479.3,36,21,24,31,3,6
2014-01-08 12:00:00,4.959118e-06,283.37808,2.5523062,4.474621,100638.12,36,21,24,31,3,6
2014-01-08 18:00:00,0.00020298845,282.21997,-1.5656157,4.7952795,100272.45,36,21,24,31,3,6
2014-01-09 08:00:00,5.3644195e-05,282.26776,6.9612274,4.4760885,99207.5,50,27,15,45,6,8
2014-01-09 12:00:00,6.294228e-06,280.9371,6.6266956,-1.7675304,99704.74,50,27,15,45,6,8
2014-01-09 18:00:00,0.0,279.28046,4.7332764,1.3876033,100173.234,50,27,15,45,6,8
2014-01-10 08:00:00,0.0,274.96344,2.1366215,2.2305355,100624.125,61,40,2,63,4,9
2014-01-10 12:00:00,1.0013682e-06,281.44125,1.7206297,3.4750204,100584.16,61,40,2,63,4,9
2014-01-10 18:00:00,3.322344e-05,280.7121,1.9817991,4.0254817,100485.67,61,40,2,63,4,9
2014-01-11 08:00:00,6.0081366e-06,279.43823,4.484741,-1.7988844,100665.2,106,34,12,38,4,9
2014-01-11 12:00:00,0.0,280.65927,3.3887367,-1.1218462,101040.2,106,34,12,38,4,9
2014-01-11 18:00:00,0.0,275.65393,1.8606586,-0.73382276,101387.45,106,34,12,38,4,9
2014-01-12 08:00:00,2.3841676e-07,274.46545,-2.8134594,3.5233107,101156.29,90,23,24,38,5,7
