time,tp,t2m,u10,v10,sp,pm25,pm10,o3,no2,so2,co
2014-01-01,0.00078536,281.91914333,-0.09225902,8.99652143,98380.44633333,37.0,20.0,26.0,29.0,11.0,5.0
2014-01-02,3.19e-06,281.05117333,2.92403347,3.82044187,98721.90666667,46.0,27.0,31.0,28.0,3.0,5.0
2014-01-03,0.00041304,280.87514333,5.78370537,6.29488147,98585.15333333,49.0,18.0,27.0,27.0,3.0,5.0
2014-01-04,0.00110029,280.65999,2.27439685,5.4421019,98236.23666667,48.0,15.0,24.0,27.0,3.0,5.0
2014-01-05,1.278e-05,278.29787,0.53290507,5.41020857,99259.39666667,44.0,23.0,28.0,27.0,3.0,4.0
2014-01-06,0.00028436,283.68142,5.23753017,7.56317293,98615.97133333,42.0,30.0,28.0,28.0,2.0,6.0
2014-01-07,0.00026896,282.90760333,4.99830467,6.78910337,99502.48333333,42.0,24.0,22.0,31.0,4.0,6.0
2014-01-08,6.932e-05,282.15755,1.45043023,4.3863639,100463.29,36.0,21.0,24.0,31.0,3.0,6.0
2014-01-09,1.998e-05,280.82844,6.10706647,1.36538713,99695.158,50.0,27.0,15.0,45.0,6.0,8.0
2014-01-10,1.141e-05,279.03893,1.9463501,3.2436792,100564.65166667,61.0,40.0,2.0,63.0,4.0,9.0
2014-01-11,2e-06,278.58381,3.2447121,-1.21818445,101030.95,106.0,34.0,12.0,38.0,4.0,9.0
2014-01-12,2.19e-06,277.60147667,-2.0461766,4.77782693,100724.32333333,90.0,23.0,24.0,38.0,5.0,7.0
2014-01-13,6.476e-05,279.69861,1.92165033,4.59774967,99682.06866667,53.0,26.0,15.0,38.0,5.0,7.0
2014-01-14,3.3e-07,276.71604333,2.8810422,0.28722937,99640.90833333,58.0,23.0,23.0,34.0,3.0,6.0
2014-01-15,7.74e-05,282.91331333,2.25392503,4.91733517,98968.03666667,50.0,24.0,25.0,31.0,5.0,5.0
2014-01-16,0.00019655,281.11817333,0.97791044,5.42483457,98203.74333333,53.0,22.0,28.0,38.0,5.0,4.0
2014-01-17,2.933e-05,280.2485,2.39356457,5.33497407,98239.48833333,56.0,20.0,14.0,32.0,2.0,2.0
2014-01-18,9.676e-05,281.25571667,-2.59528827,5.2323764,98253.772,53.0,23.0,18.0,31.0,4.0,3.0
2014-01-19,6.21e-06,278.64734,1.4312806,1.5255936,98711.82133333,59.0,40.0,2.0,60.0,7.0,7.0
2014-01-20,1.142e-05,277.12462,0.38375469,0.45178649,99942.192,99.0,46.0,16.0,53.0,8.0,8.0
2014-01-21,4.6e-07,276.29315333,-0.8702717,3.24719947,100140.038,109.0,29.0,16.0,39.0,5.0,4.0
2014-01-22,2.102e-05,280.58162667,1.60575339,1.73125971,99754.80333333,65.0,24.0,17.0,37.0,4.0,4.0
2014-01-23,0.00013698,277.99481333,4.04114567,0.30713147,100263.8,63.0,29.0,13.0,47.0,4.0,4.0
2014-01-24,4.061e-05,278.17938333,-1.34241873,2.7846222,100490.98,66.0,22.0,26.0,28.0,3.0,3.0
2014-01-25,5.48e-06,281.04467,4.70020573,0.6672859,100359.57333333,56.0,20.0,25.0,30.0,3.0,4.0
2014-01-26,0.00042477,278.92608333,2.90963163,4.42924258,99111.23833333,49.0,24.0,25.0,42.0,6.0,5.0
2014-01-27,1.78e-06,278.21005667,4.97639563,2.96708423,98034.94166667,55.0,21.0,22.0,41.0,4.0,4.0
2014-01-28,4.309e-05,279.35937333,0.58900013,5.26857847,97578.605,50.0,19.0,17.0,41.0,2.0,8.0
2014-01-29,0.00059542,277.04704667,-4.69709527,-0.30794765,98557.88,53.0,28.0,4.0,45.0,4.0,15.0
2014-01-30,0.00012418,277.33627333,-1.08405592,0.03967209,99298.27333333,79.0,22.0,17.0,40.0,5.0,7.0
2014-01-31,0.00042022,278.16709333,-0.61343492,7.18577443,98993.43,63.0,13.0,21.0,27.0,3.0,4.0
