time,tp,t2m,u10,v10,sp,pm25,pm10,o3,no2,so2,co
2024-11-01,7.1e-06,284.14089,1.68896654,-0.78332323,101644.33866667,80.0,18.0,16.0,20.0,0.0,0.0
2024-11-02,1.296e-05,285.43274,-2.77550063,-0.51422635,102161.28,51.0,18.0,15.0,17.0,0.0,1.0
2024-11-03,3.36e-06,284.60842,-2.79237017,-0.01641907,101952.08333333,59.0,19.0,12.0,22.0,0.0,1.0
2024-11-04,6.2e-07,283.61641667,-2.33588727,-0.01911892,101672.47666667,63.0,38.0,10.0,25.0,0.0,2.0
2024-11-05,2.18e-06,282.28256,0.3859764,-0.14119565,101475.34466667,101.0,37.0,7.0,19.0,0.0,2.0
2024-11-06,4.53e-06,282.67485667,-0.80894912,0.2157594,102263.83666667,94.0,24.0,6.0,15.0,0.0,1.0
2024-11-07,7.56e-06,283.35103667,-2.82668433,0.28509821,102160.56833333,67.0,26.0,5.0,18.0,1.0,1.0
2024-11-08,5.15e-06,281.20233333,-2.4670334,0.13654387,101668.68,76.0,23.0,12.0,13.0,0.0,1.0
2024-11-09,4.82e-06,280.44356,0.37566693,-0.49499828,101572.98,69.0,25.0,10.0,13.0,1.0,2.0
2024-11-10,5.48e-06,282.19168667,1.72127757,1.3717346,101976.99666667,69.0,16.0,12.0,16.0,1.0,1.0
2024-11-11,0.0,281.83359667,0.84799863,-3.39442827,102663.56533333,39.0,15.0,23.0,14.0,1.0,0.0
2024-11-12,1.5e-06,282.35628,-2.16368797,-5.62883793,102637.16,35.0,22.0,22.0,23.0,0.0,3.0
2024-11-13,2e-08,281.67076667,0.46633328,-2.36157003,102629.53133333,41.0,27.0,30.0,22.0,0.0,2.0
2024-11-14,2.28e-06,282.98327667,-0.9934278,-2.7972193,102290.44,63.0,27.0,27.0,17.0,0.0,3.0
2024-11-15,3.8e-07,280.75842,1.52205275,0.319147,101853.55666667,57.0,19.0,11.0,17.0,0.0,3.0
2024-11-16,8.78e-06,281.70791667,3.4249328,1.6149278,100987.102,66.0,10.0,20.0,13.0,0.0,2.0
2024-11-17,0.00011499,281.45111,4.50579123,-0.00665549,100625.46333333,37.0,7.0,16.0,17.0,4.0,3.0
2024-11-18,0.0002607,279.6564,-0.90076525,-0.13174334,100208.13833333,35.0,9.0,20.0,12.0,0.0,2.0
2024-11-19,0.00059266,275.93301333,0.32488061,-4.25434997,98931.152,35.0,16.0,19.0,21.0,2.0,3.0
2024-11-20,1e-08,274.96829,4.4407867,-1.41695602,100086.71666667,44.0,24.0,11.0,28.0,0.0,4.0
2024-11-21,5.87e-06,273.45474667,0.0509081,-1.38016585,99116.86,51.0,21.0,21.0,20.0,0.0,3.0
2024-11-22,2.8e-07,277.06811333,5.2061348,-0.48769637,99992.35,45.0,12.0,26.0,18.0,0.0,3.0
2024-11-23,0.00065416,282.99344,2.00535391,9.87106633,99326.31333333,42.0,23.0,29.0,9.0,0.0,0.0
2024-11-24,0.00018617,289.12585333,4.16810707,11.68755133,98649.64333333,49.0,16.0,27.0,22.0,1.0,3.0
2024-11-25,2.66e-06,282.73597667,4.30824977,2.99166113,99355.43866667,45.0,22.0,25.0,29.0,0.0,3.0
2024-11-26,7.04e-06,279.11168333,1.82455964,1.56508148,100730.14666667,54.0,18.0,21.0,27.0,0.0,3.0
2024-11-27,0.00042843,279.79907333,3.35343523,-2.11027657,100274.885,47.0,32.0,4.0,34.0,1.0,5.0
2024-11-28,0.0,274.84476667,-1.01610453,-0.12280808,101989.59333333,59.0,30.0,19.0,29.0,0.0,1.0
2024-11-29,0.0,280.00542,-2.5053437,4.51108367,101692.26333333,58.0,22.0,18.0,24.0,0.0,3.0
2024-11-30,8.93e-06,285.03847333,0.78542102,3.75898417,101506.76333333,51.0,19.0,17.0,14.0,0.0,2.0
